SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0135.93.03.00003458;1806.5300;3613.06;2238;171;06/09/2011
0135.93.03.00003475;3920.8500;6920.85;2245;172;27/09/2011
0135.93.03.00003479;4639.3800;6959.07;2249;173;27/11/2011
0135.93.03.00003502;2716.6200;5433.24;2261;174;25/01/2012
0135.93.03.00003509;19776.2600;19766.26;2265;175;09/03/2012
0135.93.03.00003525;5774.8400;5774.86;2278;176;02/05/2012
0135.93.03.00003536;27660.3300;27657.81;2284;177;17/05/2012
0135.93.03.00003554;100.0000;5014.62;2296;178;13/07/2012
0135.93.03.00003557;2888.8900;2889.89;2299;179;27/06/2012
0135.93.03.00003568;40870.1200;40870.13;2305;180;27/07/2012
0135.93.03.00003578;5364.0400;5365.04;2311;181;15/08/2012
0135.93.03.00003581;13538.0100;10153.51;2314;182;20/08/2012
0135.93.03.00003625;6015.5900;6015.6;2330;183;03/01/2013
0135.93.03.00003641;5890.8400;5890.86;2337;184;11/01/2013
0135.93.03.00003646;5483.4300;2741.72;2342;185;23/02/2013
0135.93.03.00003658;20336.6000;21656.6;2349;186;18/03/2013
0135.93.03.00003660;4263.6500;6527.29;2351;187;18/03/2013
0135.93.03.00003663;919.5500;6023.39;2353;188;22/03/2013
0135.93.03.00003667;2798.3400;2854.34;2357;189;05/02/2013
0135.93.03.00003670;28823.1600;28823.15;2360;190;01/04/2013
0135.93.03.00003684;2420.1900;1210.1;2367;191;15/05/2013
0135.93.03.00003692;15600.1300;15600.14;2373;192;04/06/2013
0135.93.03.00003729;634.5900;1269.17;2401;193;20/09/2013
0135.93.03.00003737;30741.8500;30243.85;2409;194;02/10/2013
0135.93.03.00003753;6017.5400;6017.53;2422;195;25/10/2013
0135.93.03.00003760;4167.6400;4167.59;2429;196;28/10/2013
0135.93.03.00003764;3210.5300;3210.52;2433;197;31/10/2013
0135.93.03.00003793;4931.7700;4937.77;2460;198;18/12/2013
0135.93.03.00003817;2080.9000;2080.89;2480;199;28/03/2014
0135.93.03.00003821;1396.8500;1269.01;2483;200;19/09/2013
0135.93.03.00003823;1818.4800;1652.05;2485;201;19/09/2013
0135.93.03.00003832;2507.8000;4879.2;2491;202;16/05/2014
0135.93.03.00003838;7050.6800;3525.34;2497;203;06/05/2014
0135.93.03.00003845;6441.0200;6441.01;2503;204;16/06/2014
0135.93.03.00003849;3416.1800;2846.82;2507;205;30/05/2014
0135.93.03.00003859;21220.7800;21220.79;2513;206;11/07/2014
0135.93.03.00003864;4178.6600;4178.64;2518;207;14/07/2014
0135.93.03.00003877;3003.9000;1501.95;2528;208;15/07/2014
0135.93.03.00003880;12265.1100;12265.1;2531;209;30/07/2014
0135.93.03.00003896;3011.2100;5011.21;2547;210;26/08/2014
0135.93.03.00003899;170.5700;170.58;2549;211;25/07/2014
0135.93.03.00003901;14792.6100;14776.96;2551;212;28/08/2014
0135.93.03.00003904;5681.2900;5681.3;2554;213;02/09/2014
0135.93.03.00003907;12574.8600;12274.86;2557;214;05/09/2014
0135.93.03.00003938;5681.2900;5681.27;2575;215;10/12/2014
0141.93.03.00002853;8961.9900;10961.99;2667;216;01/11/2011
0141.93.03.00002866;3968.8100;5455.03;2676;217;04/04/2012
0141.93.03.00002887;4294.3500;4924.36;2679;218;06/09/2012
0141.93.03.00002937;2512.1800;5024.37;2706;219;02/10/2013
0141.93.03.00002940;20504.2100;20503.77;2709;220;21/11/2013
0141.93.03.00002942;6792.4000;6694.93;2711;221;28/11/2013
0141.93.03.00002951;286.0600;572.14;2719;222;30/04/2014
