SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0133.93.03.00004750;137.253.000;13725.31;1501;128;01/07/2011
0133.93.03.00004759;321.478.900;32144.37;1503;129;06/07/2011
0133.93.03.00004774;32.266.100;6453.21;1506;130;02/06/2011
0133.93.03.00004799;134.177.100;13417.17;1510;131;18/08/2011
0133.93.03.00004806;60.665.700;2693.96;1516;132;25/08/2011
0133.93.03.00004848;28.977.800;2897.77;1537;133;27/09/2011
0133.93.03.00004887;61.089.300;6108.87;1550;134;07/11/2011
0133.93.03.00004909;56.842.100;5684.22;1558;135;24/11/2011
0133.93.03.00004929;288.955.100;28895.47;1560;136;02/12/2011
0133.93.03.00004949;49.983.600;4898.36;1567;137;30/01/2012
0133.93.03.00004956;29.220.200;5844.05;1570;138;30/01/2012
0133.93.03.00004960;63.099.400;3154.97;1572;139;03/02/2012
0133.93.03.00004989;86.696.200;8669.27;1589;140;03/04/2012
0133.93.03.00005005;72.759.100;5755.67;1593;141;04/04/2012
0133.93.03.00005010;194.880.300;22928.96;1595;142;05/04/2012
0133.93.03.00005013;84.317.800;8431.76;1598;143;05/04/2012
0133.93.03.00005015;71.404.900;5685.19;1600;144;05/04/2012
0133.93.03.00005018;125.652.100;10569.39;1602;145;05/04/2012
0133.93.03.00005039;50.635.500;5063.35;1610;146;21/05/2012
0133.93.03.00005043;23.660.400;4732.15;1613;147;04/05/2012
0133.93.03.00005081;195.136.000;19513.59;1632;148;13/07/2012
0133.93.03.00005104;174.297.800;17429.76;1645;149;31/07/2012
0133.93.03.00005115;159.292.700;15926.27;1650;150;18/06/2012
0133.93.03.00005140;183.988.600;18398.85;1659;151;06/09/2012
0133.93.03.00005149;198.160.800;19815.79;1664;152;13/09/2012
0133.93.03.00005152;380.620.900;38053.33;1666;153;13/09/2012
0133.93.03.00005220;56.793.400;4732.78;1687;154;22/10/2012
0133.93.03.00005268;190.793.700;19077.86;1701;155;10/12/2012
0133.93.03.00005337;42.717.100;4349.54;1723;156;27/02/2013
0133.93.03.00005345;115.273.600;11524.36;1730;157;28/08/2012
0133.93.03.00005386;65.073.200;12827.32;1740;158;27/03/2013
0133.93.03.00005395;263.979.600;26384.96;1747;159;12/03/2013
0133.93.03.00005412;77.836.500;3891.83;1752;160;22/02/2013
0133.93.03.00005414;30.000.500;2100.04;1754;161;22/02/2013
0133.93.03.00005424;90.013.300;8001.33;1760;162;28/03/2013
0133.93.03.00005436;388.255.200;16069.36;1768;163;14/12/2012
0133.93.03.00005465;59.589.600;2979.48;1774;164;13/05/2013
0133.93.03.00005480;207.836.300;19783.63;1778;165;04/06/2013
0133.93.03.00005482;51.306.000;7130.6;1780;166;05/06/2013
0133.93.03.00005489;11.250.000;2500;1783;167;10/06/2013
0133.93.03.00005495;116.826.200;11801.81;1788;168;11/06/2013
0133.93.03.00005521;37.262.700;7452.5;1795;169;08/07/2013
0133.93.03.00005534;98.827.400;9881.73;1802;170;30/07/2013
0133.93.03.00005537;117.630.400;11763.11;1804;171;30/07/2013
0133.93.03.00005554;215.234.600;20523.46;1812;172;14/08/2013
0133.93.03.00005563;10.291.100;5145.54;1820;173;30/08/2013
0133.93.03.00005590;26.809.100;2680.9;1822;174;05/09/2013
0133.93.03.00005597;13.157.900;3289.48;1827;175;16/09/2013
0133.93.03.00005608;126.973.500;12701.19;1832;176;04/07/2013
0133.93.03.00005614;242.445.500;12122.28;1834;177;01/08/2013
0133.93.03.00005626;128.214.900;12820.58;1841;178;03/10/2013
0133.93.03.00005640;257.897.000;23572.05;1845;179;20/08/2013
0133.93.03.00005652;74.493.200;7449.4;1855;180;24/10/2013
0133.93.03.00005666;58.793.200;5879.14;1862;181;26/11/2013
0133.93.03.00005686;36.109.700;2708.22;1875;182;22/11/2012
0133.93.03.00005700;162.436.500;16243.38;1889;183;21/01/2014
0133.93.03.00005707;108.941.700;12554.17;1893;184;31/01/2014
0133.93.03.00005719;64.717.300;6471.72;1901;185;26/02/2014
0133.93.03.00005730;55.692.200;5569.2;1911;186;14/03/2014
0133.93.03.00005732;524.621.200;52462.1;1913;187;14/03/2014
0133.93.03.00005735;544.035.500;58723.55;1915;188;14/03/2014
0133.93.03.00005746;27.335.600;1366.78;1923;189;02/04/2014
