SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id
0133.93.03.00005268;19079.3700;19077.86;1701;188
0133.93.03.00005337;4271.7100;4349.54;1723;189
0133.93.03.00005386;6507.3200;12827.32;1740;190
0133.93.03.00005395;26397.9600;26384.96;1747;191
0133.93.03.00005465;5958.9600;2979.48;1774;192
0133.93.03.00005480;20783.6300;19783.63;1778;193
0133.93.03.00005482;5130.6000;7130.6;1780;194
0133.93.03.00005489;1125.0000;2500;1783;195
0133.93.03.00005495;11682.6200;11801.81;1788;196
0133.93.03.00005521;3726.2700;7452.5;1795;197
0133.93.03.00005534;9882.7400;9881.73;1802;198
0133.93.03.00005537;11763.0400;11763.11;1804;199
0133.93.03.00005554;21523.4600;20523.46;1812;200
0133.93.03.00005563;1029.1100;5145.54;1820;201
0133.93.03.00005590;2680.9100;2680.9;1822;202
0133.93.03.00005597;1315.7900;3289.48;1827;203
0133.93.03.00005608;12697.3500;12701.19;1832;204
0133.93.03.00005614;24244.5500;12122.28;1834;205
0133.93.03.00005626;12821.4900;12820.58;1841;206
0133.93.03.00005640;25789.7000;23572.05;1845;207
0133.93.03.00005652;7449.3200;7449.4;1855;208
0133.93.03.00005666;5879.3200;5879.14;1862;209
0133.93.03.00005686;3610.9700;2708.22;1875;210
0133.93.03.00005700;16243.6500;16243.38;1889;211
0133.93.03.00005707;10894.1700;12554.17;1893;212
0133.93.03.00005719;6471.7300;6471.72;1901;213
0133.93.03.00005730;5569.2200;5569.2;1911;214
0133.93.03.00005732;52462.1200;52462.1;1913;215
0133.93.03.00005735;54403.5500;58723.55;1915;216
0133.93.03.00005740;4674.4600;4689.08;1919;217
0133.93.03.00005746;2733.5600;1366.78;1923;218
0133.93.03.00005752;3499.0300;5499.03;1927;219
0133.93.03.00005771;19960.2400;19280.24;1940;220
0133.93.03.00005776;12075.9800;12075.48;1945;221
0133.93.03.00005788;9084.8000;4542.4;1954;222
0133.93.03.00005792;3695.9100;7391.81;1958;223
0133.93.03.00005807;12699.0600;12699.05;1971;224
0133.93.03.00005810;13432.1500;13432.14;1974;225
0133.93.03.00005824;3294.0600;3294.08;1985;226
0133.93.03.00005829;17582.7700;18461.91;1990;227
0133.93.03.00005834;3236.8400;5236.84;1995;228
0133.93.03.00005845;24547.6900;24547.86;2005;229
0133.93.03.00005856;21091.6400;21088.74;2014;230
0133.93.03.00005858;14932.0800;14922.2;2016;231
0133.93.03.00005906;6546.3300;4564.32;2033;232
0133.93.03.00005908;3701.9000;3701.88;2035;233
0133.93.03.00005925;6953.2200;6953.21;2046;234
0135.81.03.00000239;552.9700;1681.7;2053;235
0135.81.03.00000266;2201.4800;2000;2064;236
0135.93.03.00002909;6479.5300;6479.52;2136;237
0135.93.03.00002939;5014.9200;5014.62;2144;238
0135.93.03.00002980;5014.6200;5014.61;2147;239
0135.93.03.00002996;5113.0600;5113.08;2150;240
0135.93.03.00003091;11436.6500;13436.65;2174;241
0135.93.03.00003161;8766.7900;8766.78;2183;242
0135.93.03.00003244;3067.2900;3067.28;2190;243
0135.93.03.00003413;4641.3200;6641.33;2216;244
0135.93.03.00003443;17453.1700;8726.59;2230;245
0135.93.03.00003458;1806.5300;3613.06;2238;246
0135.93.03.00003475;3920.8500;6920.85;2245;247
0135.93.03.00003479;4639.3800;6959.07;2249;248
0135.93.03.00003502;2716.6200;5433.24;2261;249
0135.93.03.00003509;19776.2600;19766.26;2265;250
0135.93.03.00003525;5774.8400;5774.86;2278;251
0135.93.03.00003536;27660.3300;27657.81;2284;252
0135.93.03.00003554;100.0000;5014.62;2296;253
0135.93.03.00003557;2888.8900;2889.89;2299;254
0135.93.03.00003568;40870.1200;40870.13;2305;255
0135.93.03.00003578;5364.0400;5365.04;2311;256
0135.93.03.00003581;13538.0100;10153.51;2314;257
0135.93.03.00003625;6015.5900;6015.6;2330;258
0135.93.03.00003641;5890.8400;5890.86;2337;259
0135.93.03.00003646;5483.4300;2741.72;2342;260
0135.93.03.00003658;20336.6000;21656.6;2349;261
0135.93.03.00003660;4263.6500;6527.29;2351;262
0135.93.03.00003663;919.5500;6023.39;2353;263
0135.93.03.00003667;2798.3400;2854.34;2357;264
0135.93.03.00003670;28823.1600;28823.15;2360;265
0135.93.03.00003684;2420.1900;1210.1;2367;266
0135.93.03.00003692;15600.1300;15600.14;2373;267
0135.93.03.00003729;634.5900;1269.17;2401;268
0135.93.03.00003737;30741.8500;30243.85;2409;269
0135.93.03.00003753;6017.5400;6017.53;2422;270
0135.93.03.00003760;4167.6400;4167.59;2429;271
0135.93.03.00003764;3210.5300;3210.52;2433;272
0135.93.03.00003793;4931.7700;4937.77;2460;273
0135.93.03.00003817;2080.9000;2080.89;2480;274
0135.93.03.00003821;1396.8500;1269.01;2483;275
0135.93.03.00003823;1818.4800;1652.05;2485;276
0135.93.03.00003832;2507.8000;4879.2;2491;277
0135.93.03.00003838;7050.6800;3525.34;2497;278
0135.93.03.00003845;6441.0200;6441.01;2503;279
0135.93.03.00003849;3416.1800;2846.82;2507;280
0135.93.03.00003859;21220.7800;21220.79;2513;281
0135.93.03.00003864;4178.6600;4178.64;2518;282
0135.93.03.00003877;3003.9000;1501.95;2528;283
0135.93.03.00003880;12265.1100;12265.1;2531;284
0135.93.03.00003896;3011.2100;5011.21;2547;285
0135.93.03.00003899;170.5700;170.58;2549;286
0135.93.03.00003901;14792.6100;14776.96;2551;287
0135.93.03.00003904;5681.2900;5681.3;2554;288
0135.93.03.00003907;12574.8600;12274.86;2557;289
0135.93.03.00003938;5681.2900;5681.27;2575;290
0141.93.03.00002853;8961.9900;10961.99;2667;291
0141.93.03.00002866;3968.8100;5455.03;2676;292
0141.93.03.00002887;4294.3500;4924.36;2679;293
0141.93.03.00002937;2512.1800;5024.37;2706;294
0141.93.03.00002940;20504.2100;20503.77;2709;295
0141.93.03.00002942;6792.4000;6694.93;2711;296
0141.93.03.00002951;286.0600;572.14;2719;297
0141.93.03.00002982;5891.8100;7891.82;2736;298
0141.93.03.00002985;5201.7500;5201.72;2739;299
0142.81.03.00000016;200.0000;2000;2741;300
0142.93.03.00000328;77242.2100;65583;2754;301
0142.93.03.00000345;2762.1800;5524.37;2757;302
0142.93.03.00000371;3426.2700;16270.02;2761;303
0142.93.03.00000403;2662.7700;2914.72;2764;304
0142.93.03.00000447;6682.8700;6682.8;2774;305
0142.93.03.00000481;5740.2200;5974.96;2793;306
0142.93.03.00000484;56070.0000;28035;2796;307
0142.93.03.00000506;4105.2600;8210.52;2810;308
0143.81.03.00000062;2174.7500;1936.69;2824;309
0143.81.03.00000067;2000.0000;1412.87;2827;310
0143.93.03.00001185;2696.8800;2696.89;2869;311
0143.93.03.00001237;37052.6600;37052.65;2873;312
0143.93.03.00001297;9592.7300;9593.05;2896;313
0143.93.03.00001306;14127.0200;10976.08;2903;314
0143.93.03.00001331;10103.3300;10103.32;2913;315
0143.93.03.00001356;7782.4700;7782.5;2921;316
0143.93.03.00001377;13611.1200;13611.11;2932;317
0143.93.03.00001385;7684.2100;7684.2;2939;318
0143.93.03.00001403;9804.0900;9804;2948;319
0143.93.03.00001408;36949.0800;32904.51;2952;320
0143.93.03.00001413;12614.7100;6307.35;2957;321
0143.93.03.00001420;2629.6300;2629.62;2962;322
0143.93.03.00001447;10563.2100;12323.21;2982;323
0143.93.03.00001456;19252.9200;18727.5;2988;324
0143.93.03.00001465;2142.8400;2106.09;2995;325
0143.93.03.00001471;7673.4900;7673.48;3001;326
0143.93.03.00001473;10112.3600;16432.56;3003;327
0143.93.03.00001475;7744.6400;7744.65;3005;328
0143.93.03.00001481;9700.7800;5189.08;3011;329
0143.93.03.00001483;23794.9900;23749.45;3013;330
0143.93.03.00001491;32622.6000;32622.9;3019;331
0143.93.03.00001496;3447.8600;5447.86;3022;332
0151.93.03.00000156;19558.5400;19560.26;3041;333
0152.93.03.00000264;36100.6400;18050.32;3078;334
0152.93.03.00000266;36784.2200;18734.55;3080;335
0152.93.03.00000292;5619.4000;5619.42;3085;336
0152.93.03.00000294;62055.7600;17123.99;3087;337
0152.93.03.00000304;20080.5600;10040.28;3091;338
0152.93.03.00000309;3676.4100;3676.4;3094;339
0152.93.03.00000315;4553.6000;2276.8;3098;340
0152.93.03.00000317;87175.2000;8717.52;3100;341
0152.93.03.00000319;46682.7800;23341.39;3102;342
0152.93.03.00000324;11530.5400;5765.27;3104;343
0152.93.03.00000326;10356.0400;5178.02;3106;344
0153.81.03.00000063;1000.0000;2000;3116;345
0153.93.03.00001160;4291.7400;4291.68;3181;346
0153.93.03.00001197;14428.8500;14428.84;3189;347
0153.93.03.00001229;7606.2400;6857.64;3197;348
0153.93.03.00001268;927.8500;5198.83;3207;349
